method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
FA B-F@40k,8,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s42_fa_invariant_a4_rot90.json,8.1895,0.9805,38.8146,0.3333,5.3022,16.3484,24.2386,3.6295,12.0562,18.3052
FA B-F@40k,8,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s43_fa_invariant_a4_rot90.json,8.1974,0.9779,38.7252,0.3332,5.2864,16.4431,24.1755,3.3297,12.3087,18.2579
FA B-F@40k,8,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s44_fa_invariant_a4_rot90.json,8.2202,0.9766,38.9147,0.333,5.4442,16.4589,24.3491,3.6137,11.9773,18.0843
FA B-F@40k,8,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s45_fa_invariant_a4_rot90.json,8.182,0.9774,38.7476,0.3331,5.4916,16.522,24.207,3.4086,11.8668,17.9422
FA B-F@40k,8,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_s46_fa_invariant_a4_rot90.json,8.2184,0.9771,38.7763,0.3332,5.3811,16.4589,23.9388,3.4717,12.0246,17.9738
FA B-F@40k,8,180,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_s42_fa_invariant_a4_rot180.json,8.1903,0.9804,38.8128,0.3333,5.2864,16.3958,24.2386,3.8662,12.7663,20.2777
FA B-F@40k,8,180,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_s43_fa_invariant_a4_rot180.json,8.1982,0.9778,38.7228,0.3332,5.3022,16.4905,24.1439,3.8504,12.9872,20.1831
FA B-F@40k,8,180,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_s44_fa_invariant_a4_rot180.json,8.2213,0.9766,38.9144,0.333,5.46,16.4431,24.428,3.6137,12.9714,20.1199
FA B-F@40k,8,180,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_s45_fa_invariant_a4_rot180.json,8.1828,0.9773,38.749,0.3331,5.4916,16.5062,24.2228,3.8662,13.003,20.262
FA B-F@40k,8,180,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot180_unseeneval_s46_fa_invariant_a4_rot180.json,8.2198,0.977,38.7762,0.3332,5.3811,16.4431,23.9072,3.8504,13.1135,20.0095
FA B-F@40k,8,270,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6c4_FA40_rot270_unseeneval_s42_fa_invariant_a4_rot270.json,8.1899,0.9804,38.8111,0.3333,5.3022,16.38,24.2544,3.661,12.0877,18.3999
